pickup_id,avg_weekday_trips,avg_weekend_trips,diff,percent_change,trend_category
215,31,30.2,-0.8,-2.7,変化なし
191,7,6.8,-0.2,-3.3,変化なし
125,1270.8,1225.2,-45.6,-3.6,変化なし
160,4.7,4.5,-0.2,-3.7,変化なし
193,84,80.8,-3.2,-3.8,変化なし
252,3.1,3,-0.1,-4.2,変化なし
107,5149.9,4890.5,-259.4,-5,変化なし
113,3463.6,3287.8,-175.7,-5.1,変化なし
133,10.4,9.9,-0.5,-5.2,変化なし
1,6.6,6.3,-0.4,-5.5,変化なし
2,0.2,0.2,0,-5.7,変化なし
6,0.6,0.6,0,-6.5,変化なし
258,5.6,5.3,-0.4,-7,変化なし
142,6931.8,6427.4,-504.3,-7.3,変化なし
257,7.8,7.2,-0.6,-7.7,変化なし
43,3613,3334.1,-278.8,-7.7,変化なし
130,37.8,34.8,-3,-7.9,変化なし
186,8272.9,7600.5,-672.3,-8.1,変化なし
216,30.4,27.9,-2.5,-8.2,変化なし
65,265,242.3,-22.8,-8.6,変化なし
89,29,26.5,-2.5,-8.8,変化なし
64,1.8,1.6,-0.2,-8.8,変化なし
5,0.8,0.8,-0.1,-9.1,変化なし
136,7.8,7.1,-0.7,-9.2,変化なし
76,29.1,26.3,-2.8,-9.7,変化なし
122,2.4,2.2,-0.2,-10,変化なし
10,78.3,70.4,-8,-10.2,変化なし
259,4.2,3.8,-0.4,-10.3,変化なし
3,4,3.6,-0.4,-10.5,変化なし
244,245.9,219.8,-26.2,-10.6,変化なし
164,5407.4,4832,-575.5,-10.6,変化なし
23,1.4,1.2,-0.1,-10.7,変化なし
34,5.2,4.6,-0.6,-11,変化なし
207,2.8,2.5,-0.3,-11.5,変化なし
137,2738.5,2421.8,-316.7,-11.6,変化なし
78,7.1,6.3,-0.8,-11.6,変化なし
18,5.4,4.8,-0.6,-11.7,変化なし
75,1699.9,1498.8,-201.1,-11.8,変化なし
38,3.5,3.1,-0.4,-11.9,変化なし
141,5439.5,4792.3,-647.3,-11.9,変化なし
230,8031.2,7051.6,-979.6,-12.2,変化なし
72,13.4,11.7,-1.7,-12.7,変化なし
